"Symbol","Description","Universe","Schwab Equity Rating","Sector","Industry","Sub-Industry"
"A","Agilent Technologies Inc","Domestic","A","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"AAPL","Apple Inc","Domestic","A","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"ABC","Amerisourcebergen Corp","Domestic","A","Health Care","Health Care Providers & Services","Health Care Distributors"
"ACN","Accenture PLC","Domestic","A","Information Technology","IT Services","IT Consulting & Other Services"
"ADUS","Addus Homecare Corp","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"AHCO","Adapthealth Corp","Domestic","A","Health Care","Health Care Providers & Services","Health Care Distributors"
"ALLK","Allakos Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"ALXO","ALX Oncology Holdings Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"AM","Antero Midstream Corp","Domestic","A","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation"
"AMED","Amedisys Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"AMEH","Apollo Medical Holdings Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"AMGN","Amgen Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"AMN","AMN Healthcare Services Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"AMRX","Amneal Pharmaceuticals Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"AN","AutoNation Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Automotive Retail"
"ANGO","AngioDynamics Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"ANIK","Anika Therapeutics Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"ANIP","ANI Pharmaceuticals Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"ANTM","Anthem Inc","Domestic","A","Health Care","Health Care Providers & Services","Managed Health Care"
"ARAY","Accuray Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"ARW","Arrow Electronics Inc","Domestic","A","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors"
"ATHA","Athira Pharma Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"ATKR","Atkore International Group Inc","Domestic","A","Industrials","Electrical Equipment","Electrical Components & Equipment"
"ATLC","Atlanticus Holdings Corp","Domestic","A","Financials","Consumer Finance","Consumer Finance"
"ATLO","Ames National Corp","Domestic","A","Financials","Banks","Regional Banks"
"ATRC","AtriCure Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"ATRI","Atrion Corp","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Supplies"
"ATRS","Antares Pharma Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Supplies"
"AVGO","Broadcom Inc","Domestic","A","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors"
"AVIR","Atea Pharmaceuticals Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"AVNS","Avanos Medical Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Supplies"
"AXGN","AxoGen Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"AZO","Autozone Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Automotive Retail"
"BAC","Bank of America Corp","Domestic","A","Financials","Banks","Diversified Banks"
"BBY","Best Buy Co Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Computer & Electronics Retail"
"BCC","Boise Cascade Co","Domestic","A","Industrials","Trading Companies & Distributors","Trading Companies & Distributors"
"BCEI","Bonanza Creek Energy Inc","Domestic","A","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production"
"BDSI","BioDelivery Sciences International Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"BHF","Brighthouse Financial Inc","Domestic","A","Financials","Insurance","Life & Health Insurance"
"BIPC","Brookfield Infrastructure Corp","Domestic","A","Utilities","Gas Utilities","Gas Utilities"
"BKE","Buckle Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Apparel Retail"
"BLFS","BioLife Solutions Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Supplies"
"BRBR","Bellring Brands Inc","Domestic","A","Consumer Staples","Personal Products","Personal Products"
"BZH","Beazer Homes USA Inc","Domestic","A","Consumer Discretionary","Household Durables","Homebuilding"
"CADE","Cadence Bancorp","Domestic","A","Financials","Banks","Regional Banks"
"CAH","Cardinal Health Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Distributors"
"CARS","Cars.com Inc","Domestic","A","Communication Services","Interactive Media & Services","Interactive Media & Services"
"CBAN","Colony Bankcorp Inc","Domestic","A","Financials","Banks","Regional Banks"
"CC","Chemours Co","Domestic","A","Materials","Chemicals","Diversified Chemicals"
"CCRN","Cross Country Healthcare Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"CDMO","Avid Bioservices Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"CDW","CDW Corp","Domestic","A","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors"
"CFG","Citizens Financial Group Inc","Domestic","A","Financials","Banks","Regional Banks"
"CMCSA","Comcast Corp","Domestic","A","Communication Services","Media","Cable & Satellite"
"CNMD","Conmed Corp","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"CNO","CNO Financial Group Inc","Domestic","A","Financials","Insurance","Life & Health Insurance"
"COF","Capital One Financial Corp","Domestic","A","Financials","Consumer Finance","Consumer Finance"
"COLL","Collegium Pharmaceutical Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"CONN","Conn's Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Computer & Electronics Retail"
"CORT","Corcept Therapeutics Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"CPSI","Computer Programs and Systems Inc","Domestic","A","Health Care","Health Care Technology","Health Care Technology"
"CRI","Carter's Inc","Domestic","A","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
"CRVL","CorVel Corp","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"CSBR","Champions Oncology Inc","Domestic","A","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"CSCO","Cisco Systems Inc","Domestic","A","Information Technology","Communications Equipment","Communications Equipment"
"CSII","Cardiovascular Systems Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"CTB","Cooper Tire & Rubber Co","Domestic","A","Consumer Discretionary","Auto Components","Tires & Rubber"
"CTSH","Cognizant Technology Solutions Corp","Domestic","A","Information Technology","IT Services","IT Consulting & Other Services"
"CTXS","Citrix Systems Inc","Domestic","A","Information Technology","Software","Application Software"
"CUBI","Customers Bancorp Inc","Domestic","A","Financials","Banks","Regional Banks"
"CVET","Covetrus Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Distributors"
"CYH","Community Health Systems Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Facilities"
"CYRX","Cryoport Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"DELL","Dell Technologies Inc","Domestic","A","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"DG","Dollar General Corp","Domestic","A","Consumer Discretionary","Multiline Retail","General Merchandise Stores"
"DHT","DHT Holdings Inc","Domestic","A","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation"
"DKS","Dick's Sporting Goods Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Specialty Stores"
"DLX","Deluxe Corp","Domestic","A","Industrials","Commercial Services & Supplies","Commercial Printing"
"DNLI","Denali Therapeutics Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"DOX","Amdocs Ltd","Domestic","A","Information Technology","IT Services","IT Consulting & Other Services"
"DXPE","DXP Enterprises Inc","Domestic","A","Industrials","Trading Companies & Distributors","Trading Companies & Distributors"
"EBF","Ennis Inc","Domestic","A","Industrials","Commercial Services & Supplies","Commercial Printing"
"EBS","Emergent BioSolutions Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"ELMD","Electromed Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"EME","EMCOR Group Inc","Domestic","A","Industrials","Construction & Engineering","Construction & Engineering"
"ENDP","Endo International PLC","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"ENSG","Ensign Group Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Facilities"
"ENVA","Enova International Inc","Domestic","A","Financials","Consumer Finance","Consumer Finance"
"EOG","EOG Resources Inc","Domestic","A","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production"
"ESSA","ESSA Bancorp Inc","Domestic","A","Financials","Thrifts & Mortgage Finance","Thrifts & Mortgage Finance"
"ETH","Ethan Allen Interiors Inc","Domestic","A","Consumer Discretionary","Household Durables","Home Furnishings"
"EVH","Evolent Health Inc","Domestic","A","Health Care","Health Care Technology","Health Care Technology"
"FITB","Fifth Third Bancorp","Domestic","A","Financials","Banks","Regional Banks"
"FNWB","First Northwest Bancorp","Domestic","A","Financials","Banks","Regional Banks"
"FONR","Fonar Corp","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"FSBW","FS Bancorp Inc","Domestic","A","Financials","Thrifts & Mortgage Finance","Thrifts & Mortgage Finance"
"FTNT","Fortinet Inc","Domestic","A","Information Technology","Software","Systems Software"
"FUNC","First United Corp","Domestic","A","Financials","Banks","Regional Banks"
"FVE","Five Star Senior Living Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Facilities"
"G","Genpact Ltd","Domestic","A","Information Technology","IT Services","Data Processing & Outsourced Services"
"GBL","GAMCO Investors Inc","Domestic","A","Financials","Capital Markets","Asset Management & Custody Banks"
"GHC","Graham Holdings Co","Domestic","A","Consumer Discretionary","Diversified Consumer Services","Education Services"
"GKOS","Glaukos Corp","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"GNE","Genie Energy Ltd","Domestic","A","Utilities","Electric Utilities","Electric Utilities"
"GNTX","Gentex Corp","Domestic","A","Consumer Discretionary","Auto Components","Auto Parts & Equipment"
"GPC","Genuine Parts Co","Domestic","A","Consumer Discretionary","Distributors","Distributors"
"GTS","Triple-S Management Corp","Domestic","A","Health Care","Health Care Providers & Services","Managed Health Care"
"GWW","W W Grainger Inc","Domestic","A","Industrials","Trading Companies & Distributors","Trading Companies & Distributors"
"HALO","Halozyme Therapeutics Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"HBIO","Harvard Bioscience Inc","Domestic","A","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"HCA","HCA Healthcare Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Facilities"
"HD","Home Depot Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Home Improvement Retail"
"HIG","Hartford Financial Services Group Inc","Domestic","A","Financials","Insurance","Multi-line Insurance"
"HNGR","Hanger Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Facilities"
"HOFT","Hooker Furniture Corp","Domestic","A","Consumer Discretionary","Household Durables","Home Furnishings"
"HPQ","HP Inc","Domestic","A","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"HQY","Healthequity Inc","Domestic","A","Health Care","Health Care Providers & Services","Managed Health Care"
"HROW","Harrow Health Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"HSKA","Heska Corp","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"HSTM","HealthStream Inc","Domestic","A","Health Care","Health Care Technology","Health Care Technology"
"HUM","Humana Inc","Domestic","A","Health Care","Health Care Providers & Services","Managed Health Care"
"HVT","Haverty Furniture Companies Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Homefurnishing Retail"
"HWC","Hancock Whitney Corp","Domestic","A","Financials","Banks","Regional Banks"
"IBEX","Ibex Ltd","Domestic","A","Information Technology","IT Services","Data Processing & Outsourced Services"
"IIN","IntriCon Corp","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"INFU","InfuSystem Holdings Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"INGN","Inogen Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"INOV","Inovalon Holdings Inc","Domestic","A","Health Care","Health Care Technology","Health Care Technology"
"INT","World Fuel Services Corp","Domestic","A","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing"
"INTC","Intel Corp","Domestic","A","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors"
"INVA","Innoviva Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"IPG","Interpublic Group of Companies Inc","Domestic","A","Communication Services","Media","Advertising"
"IRMD","IRadimed Corp","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"IRWD","Ironwood Pharmaceuticals Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"ITGR","Integer Holdings Corp","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"ITOS","Iteos Therapeutics Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"JEF","Jefferies Financial Group Inc","Domestic","A","Financials","Diversified Financial Services","Multi-Sector Holdings"
"JNJ","Johnson & Johnson","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"JW/A","John Wiley & Sons Inc","Domestic","A","Communication Services","Media","Publishing"
"KELYA","Kelly Services Inc","Domestic","A","Industrials","Professional Services","Human Resource & Employment Services"
"KFRC","Kforce Inc","Domestic","A","Industrials","Professional Services","Human Resource & Employment Services"
"KLAC","KLA Corp","Domestic","A","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment"
"KOD","Kodiak Sciences Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"KYMR","Kymera Therapeutics Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"LCUT","Lifetime Brands Inc","Domestic","A","Consumer Discretionary","Household Durables","Housewares & Specialties"
"LHCG","LHC Group Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"LIVN","LivaNova PLC","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"LKQ","LKQ Corp","Domestic","A","Consumer Discretionary","Distributors","Distributors"
"LL","Lumber Liquidators Holdings Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Home Improvement Retail"
"LLY","Eli Lilly and Co","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"LMAT","LeMaitre Vascular Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"LOW","Lowe's Companies Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Home Improvement Retail"
"LUNG","Pulmonx Corp","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Supplies"
"MAN","ManpowerGroup Inc","Domestic","A","Industrials","Professional Services","Human Resource & Employment Services"
"MBIN","Merchants Bancorp","Domestic","A","Financials","Thrifts & Mortgage Finance","Thrifts & Mortgage Finance"
"MCK","Mckesson Corp","Domestic","A","Health Care","Health Care Providers & Services","Health Care Distributors"
"MD","MEDNAX Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"MDRX","Allscripts Healthcare Solutions Inc","Domestic","A","Health Care","Health Care Technology","Health Care Technology"
"MDT","Medtronic PLC","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"MEDP","Medpace Holdings Inc","Domestic","A","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"MET","MetLife Inc","Domestic","A","Financials","Insurance","Life & Health Insurance"
"MHK","Mohawk Industries Inc","Domestic","A","Consumer Discretionary","Household Durables","Home Furnishings"
"MIK","Michaels Companies Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Specialty Stores"
"MLAB","Mesa Laboratories Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"MLI","Mueller Industries Inc","Domestic","A","Industrials","Machinery","Industrial Machinery"
"MMSI","Merit Medical Systems Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Supplies"
"MODV","ModivCare Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"MOH","Molina Healthcare Inc","Domestic","A","Health Care","Health Care Providers & Services","Managed Health Care"
"MRK","Merck & Co Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"MSFT","Microsoft Corp","Domestic","A","Information Technology","Software","Systems Software"
"MSGN","MSG Networks Inc","Domestic","A","Communication Services","Media","Cable & Satellite"
"MSM","MSC Industrial Direct Co Inc","Domestic","A","Industrials","Trading Companies & Distributors","Trading Companies & Distributors"
"MTD","Mettler-Toledo International Inc","Domestic","A","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"MUSA","Murphy Usa Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Automotive Retail"
"MYGN","Myriad Genetics Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"NARI","Inari Medical Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"NATR","Natures Sunshine Products Inc","Domestic","A","Consumer Staples","Personal Products","Personal Products"
"NCR","NCR Corp","Domestic","A","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"NEO","Neogenomics Inc","Domestic","A","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"NEOG","Neogen Corp","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Supplies"
"NHC","National Healthcare Corp","Domestic","A","Health Care","Health Care Providers & Services","Health Care Facilities"
"NRC","National Research Corp","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"NRG","NRG Energy Inc","Domestic","A","Utilities","Electric Utilities","Electric Utilities"
"NSIT","Insight Enterprises Inc","Domestic","A","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors"
"NTAP","NetApp Inc","Domestic","A","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"NTUS","Natus Medical Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"NUVA","NuVasive Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"NVR","NVR Inc","Domestic","A","Consumer Discretionary","Household Durables","Homebuilding"
"NVRO","Nevro Corp","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"NWLI","National Western Life Group Inc","Domestic","A","Financials","Insurance","Life & Health Insurance"
"NWSA","News Corp","Domestic","A","Communication Services","Media","Publishing"
"NXGN","NextGen Healthcare Inc","Domestic","A","Health Care","Health Care Technology","Health Care Technology"
"ODP","ODP Corp","Domestic","A","Consumer Discretionary","Specialty Retail","Specialty Stores"
"OFIX","Orthofix Medical Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"OMC","Omnicom Group Inc","Domestic","A","Communication Services","Media","Advertising"
"OMCL","Omnicell Inc","Domestic","A","Health Care","Health Care Technology","Health Care Technology"
"OMF","OneMain Holdings Inc","Domestic","A","Financials","Consumer Finance","Consumer Finance"
"OMI","Owens & Minor Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Distributors"
"ONEW","OneWater Marine Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Automotive Retail"
"OPCH","Option Care Health Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"OPRX","OPTIMIZERx Corp","Domestic","A","Health Care","Health Care Technology","Health Care Technology"
"ORCL","Oracle Corp","Domestic","A","Information Technology","Software","Systems Software"
